Statistic,Year,Sex,Age.Group,value
Persons who drink more than once per week,2015,Male,15 - 19 years,5.3
Persons who drink more than once per week,2015,Male,20 - 24 years,24.7
Persons who drink more than once per week,2015,Male,25 - 29 years,23.7
Persons who drink more than once per week,2015,Male,30 - 34 years,29.6
Persons who drink more than once per week,2015,Male,35 - 39 years,24.3
Persons who drink more than once per week,2015,Male,40 - 44 years,32.1
Persons who drink more than once per week,2015,Male,45 - 49 years,35.8
Persons who drink more than once per week,2015,Male,50 - 54 years,38.8
Persons who drink more than once per week,2015,Male,55 - 59 years,42
Persons who drink more than once per week,2015,Male,60 - 64 years,38.7
Persons who drink more than once per week,2015,Male,65 - 69 years,36.7
Persons who drink more than once per week,2015,Male,70 - 74 years,39.7
Persons who drink more than once per week,2015,Male,75 years and over,26.1
Persons who drink more than once per week,2015,Female,15 - 19 years,5.3
Persons who drink more than once per week,2015,Female,20 - 24 years,19.5
Persons who drink more than once per week,2015,Female,25 - 29 years,15.3
Persons who drink more than once per week,2015,Female,30 - 34 years,14.2
Persons who drink more than once per week,2015,Female,35 - 39 years,18.7
Persons who drink more than once per week,2015,Female,40 - 44 years,24.4
Persons who drink more than once per week,2015,Female,45 - 49 years,24.4
Persons who drink more than once per week,2015,Female,50 - 54 years,25.4
Persons who drink more than once per week,2015,Female,55 - 59 years,25.4
Persons who drink more than once per week,2015,Female,60 - 64 years,24.4
Persons who drink more than once per week,2015,Female,65 - 69 years,21.1
Persons who drink more than once per week,2015,Female,70 - 74 years,18
Persons who drink more than once per week,2015,Female,75 years and over,13.4
Persons who drink more than once per week,2016,Male,15 - 19 years,10.5
Persons who drink more than once per week,2016,Male,20 - 24 years,23.1
Persons who drink more than once per week,2016,Male,25 - 29 years,20.9
Persons who drink more than once per week,2016,Male,30 - 34 years,32.8
Persons who drink more than once per week,2016,Male,35 - 39 years,34.9
Persons who drink more than once per week,2016,Male,40 - 44 years,33.7
Persons who drink more than once per week,2016,Male,45 - 49 years,38.9
Persons who drink more than once per week,2016,Male,50 - 54 years,28.7
Persons who drink more than once per week,2016,Male,55 - 59 years,40.4
Persons who drink more than once per week,2016,Male,60 - 64 years,40
Persons who drink more than once per week,2016,Male,65 - 69 years,33
Persons who drink more than once per week,2016,Male,70 - 74 years,30.8
Persons who drink more than once per week,2016,Male,75 years and over,24.6
Persons who drink more than once per week,2016,Female,15 - 19 years,7.5
Persons who drink more than once per week,2016,Female,20 - 24 years,18.5
