table_name,Statistic,Year,Sex,Age.Group,value
alcohol,Persons who drink more than once per week,2015,Both sexes,All ages,24.2
alcohol,Persons who drink more than once per week,2015,Both sexes,15 - 19 years,5.3
alcohol,Persons who drink more than once per week,2015,Both sexes,20 - 24 years,22.3
alcohol,Persons who drink more than once per week,2015,Both sexes,25 - 29 years,19.7
alcohol,Persons who drink more than once per week,2015,Both sexes,30 - 34 years,21.1
alcohol,Persons who drink more than once per week,2015,Both sexes,35 - 39 years,21.4
alcohol,Persons who drink more than once per week,2015,Both sexes,40 - 44 years,28.3
alcohol,Persons who drink more than once per week,2015,Both sexes,45 - 49 years,30.2
alcohol,Persons who drink more than once per week,2015,Both sexes,50 - 54 years,31.8
alcohol,Persons who drink more than once per week,2015,Both sexes,55 - 59 years,33.6
alcohol,Persons who drink more than once per week,2015,Both sexes,60 - 64 years,31.6
alcohol,Persons who drink more than once per week,2015,Both sexes,65 - 69 years,28.8
alcohol,Persons who drink more than once per week,2015,Both sexes,70 - 74 years,28.1
alcohol,Persons who drink more than once per week,2015,Both sexes,75 years and over,18.9
alcohol,Persons who drink more than once per week,2015,Male,All ages,29.7
alcohol,Persons who drink more than once per week,2015,Male,15 - 19 years,5.3
alcohol,Persons who drink more than once per week,2015,Male,20 - 24 years,24.7
alcohol,Persons who drink more than once per week,2015,Male,25 - 29 years,23.7
alcohol,Persons who drink more than once per week,2015,Male,30 - 34 years,29.6
alcohol,Persons who drink more than once per week,2015,Male,35 - 39 years,24.3
alcohol,Persons who drink more than once per week,2015,Male,40 - 44 years,32.1
alcohol,Persons who drink more than once per week,2015,Male,45 - 49 years,35.8
alcohol,Persons who drink more than once per week,2015,Male,50 - 54 years,38.8
alcohol,Persons who drink more than once per week,2015,Male,55 - 59 years,42
alcohol,Persons who drink more than once per week,2015,Male,60 - 64 years,38.7
alcohol,Persons who drink more than once per week,2015,Male,65 - 69 years,36.7
alcohol,Persons who drink more than once per week,2015,Male,70 - 74 years,39.7
alcohol,Persons who drink more than once per week,2015,Male,75 years and over,26.1
alcohol,Persons who drink more than once per week,2015,Female,All ages,19
alcohol,Persons who drink more than once per week,2015,Female,15 - 19 years,5.3
alcohol,Persons who drink more than once per week,2015,Female,20 - 24 years,19.5
alcohol,Persons who drink more than once per week,2015,Female,25 - 29 years,15.3
alcohol,Persons who drink more than once per week,2015,Female,30 - 34 years,14.2
alcohol,Persons who drink more than once per week,2015,Female,35 - 39 years,18.7
alcohol,Persons who drink more than once per week,2015,Female,40 - 44 years,24.4
alcohol,Persons who drink more than once per week,2015,Female,45 - 49 years,24.4
alcohol,Persons who drink more than once per week,2015,Female,50 - 54 years,25.4
alcohol,Persons who drink more than once per week,2015,Female,55 - 59 years,25.4
alcohol,Persons who drink more than once per week,2015,Female,60 - 64 years,24.4
alcohol,Persons who drink more than once per week,2015,Female,65 - 69 years,21.1
