Statistic,Year,Sex,Age.Group,value
GP visit in last 12 months,2015,Male,15 - 19 years,55.7
GP visit in last 12 months,2015,Male,20 - 24 years,54
GP visit in last 12 months,2015,Male,25 - 29 years,55.1
GP visit in last 12 months,2015,Male,30 - 34 years,54.1
GP visit in last 12 months,2015,Male,35 - 39 years,55.4
GP visit in last 12 months,2015,Male,40 - 44 years,61.8
GP visit in last 12 months,2015,Male,45 - 49 years,62.2
GP visit in last 12 months,2015,Male,50 - 54 years,67.4
GP visit in last 12 months,2015,Male,55 - 59 years,83
GP visit in last 12 months,2015,Male,60 - 64 years,83.9
GP visit in last 12 months,2015,Male,65 - 69 years,82.3
GP visit in last 12 months,2015,Male,70 - 74 years,94.3
GP visit in last 12 months,2015,Male,75 years and over,94.2
GP visit in last 12 months,2015,Female,15 - 19 years,72.4
GP visit in last 12 months,2015,Female,20 - 24 years,73.9
GP visit in last 12 months,2015,Female,25 - 29 years,74
GP visit in last 12 months,2015,Female,30 - 34 years,73.3
GP visit in last 12 months,2015,Female,35 - 39 years,71.7
GP visit in last 12 months,2015,Female,40 - 44 years,75.1
GP visit in last 12 months,2015,Female,45 - 49 years,67.7
GP visit in last 12 months,2015,Female,50 - 54 years,76.5
GP visit in last 12 months,2015,Female,55 - 59 years,77.4
GP visit in last 12 months,2015,Female,60 - 64 years,86.1
GP visit in last 12 months,2015,Female,65 - 69 years,91.1
GP visit in last 12 months,2015,Female,70 - 74 years,95
GP visit in last 12 months,2015,Female,75 years and over,95.1
GP visit in last 12 months,2016,Male,15 - 19 years,60.8
GP visit in last 12 months,2016,Male,20 - 24 years,56.8
GP visit in last 12 months,2016,Male,25 - 29 years,53.6
GP visit in last 12 months,2016,Male,30 - 34 years,52.7
GP visit in last 12 months,2016,Male,35 - 39 years,59.8
GP visit in last 12 months,2016,Male,40 - 44 years,59.9
GP visit in last 12 months,2016,Male,45 - 49 years,69.2
GP visit in last 12 months,2016,Male,50 - 54 years,68.6
GP visit in last 12 months,2016,Male,55 - 59 years,74.4
GP visit in last 12 months,2016,Male,60 - 64 years,78.5
GP visit in last 12 months,2016,Male,65 - 69 years,85.8
GP visit in last 12 months,2016,Male,70 - 74 years,93.1
GP visit in last 12 months,2016,Male,75 years and over,93.3
GP visit in last 12 months,2016,Female,15 - 19 years,72.9
GP visit in last 12 months,2016,Female,20 - 24 years,76.5
GP visit in last 12 months,2016,Female,25 - 29 years,69.2
GP visit in last 12 months,2016,Female,30 - 34 years,77.3
GP visit in last 12 months,2016,Female,35 - 39 years,71.1
GP visit in last 12 months,2016,Female,40 - 44 years,74.4
GP visit in last 12 months,2016,Female,45 - 49 years,73.7
GP visit in last 12 months,2016,Female,50 - 54 years,77.2
GP visit in last 12 months,2016,Female,55 - 59 years,79.4
GP visit in last 12 months,2016,Female,60 - 64 years,87.1
GP visit in last 12 months,2016,Female,65 - 69 years,85.8
GP visit in last 12 months,2016,Female,70 - 74 years,93.8
GP visit in last 12 months,2016,Female,75 years and over,95.2
GP visit in last 12 months,2018,Male,15 - 19 years,58.3
GP visit in last 12 months,2018,Male,20 - 24 years,53.7
GP visit in last 12 months,2018,Male,25 - 29 years,53.4
GP visit in last 12 months,2018,Male,30 - 34 years,54.6
GP visit in last 12 months,2018,Male,35 - 39 years,57.3
GP visit in last 12 months,2018,Male,40 - 44 years,64.5
GP visit in last 12 months,2018,Male,45 - 49 years,67.5
GP visit in last 12 months,2018,Male,50 - 54 years,78.2
GP visit in last 12 months,2018,Male,55 - 59 years,74.8
GP visit in last 12 months,2018,Male,60 - 64 years,82.9
GP visit in last 12 months,2018,Male,65 - 69 years,90.1
GP visit in last 12 months,2018,Male,70 - 74 years,93.2
GP visit in last 12 months,2018,Male,75 years and over,92.1
GP visit in last 12 months,2018,Female,15 - 19 years,67.9
GP visit in last 12 months,2018,Female,20 - 24 years,78.6
GP visit in last 12 months,2018,Female,25 - 29 years,74.8
GP visit in last 12 months,2018,Female,30 - 34 years,75.9
GP visit in last 12 months,2018,Female,35 - 39 years,76.2
GP visit in last 12 months,2018,Female,40 - 44 years,72.8
GP visit in last 12 months,2018,Female,45 - 49 years,71.2
GP visit in last 12 months,2018,Female,50 - 54 years,80.3
GP visit in last 12 months,2018,Female,55 - 59 years,76.8
GP visit in last 12 months,2018,Female,60 - 64 years,85
GP visit in last 12 months,2018,Female,65 - 69 years,89.5
GP visit in last 12 months,2018,Female,70 - 74 years,92.7
GP visit in last 12 months,2018,Female,75 years and over,96.6
GP visit in last 12 months,2021,Male,15 - 19 years,55.6
GP visit in last 12 months,2021,Male,20 - 24 years,48.6
GP visit in last 12 months,2021,Male,25 - 29 years,50.6
GP visit in last 12 months,2021,Male,30 - 34 years,41.7
GP visit in last 12 months,2021,Male,35 - 39 years,51.7
GP visit in last 12 months,2021,Male,40 - 44 years,52.5
GP visit in last 12 months,2021,Male,45 - 49 years,60.1
GP visit in last 12 months,2021,Male,50 - 54 years,64.5
GP visit in last 12 months,2021,Male,55 - 59 years,69.6
GP visit in last 12 months,2021,Male,60 - 64 years,75.8
GP visit in last 12 months,2021,Male,65 - 69 years,80.8
GP visit in last 12 months,2021,Male,70 - 74 years,87.7
GP visit in last 12 months,2021,Male,75 years and over,87.4
GP visit in last 12 months,2021,Female,15 - 19 years,67.1
GP visit in last 12 months,2021,Female,20 - 24 years,70.3
GP visit in last 12 months,2021,Female,25 - 29 years,72.2
GP visit in last 12 months,2021,Female,30 - 34 years,66
GP visit in last 12 months,2021,Female,35 - 39 years,71.9
GP visit in last 12 months,2021,Female,40 - 44 years,62.9
GP visit in last 12 months,2021,Female,45 - 49 years,69.9
GP visit in last 12 months,2021,Female,50 - 54 years,70.2
GP visit in last 12 months,2021,Female,55 - 59 years,73.3
GP visit in last 12 months,2021,Female,60 - 64 years,81.7
GP visit in last 12 months,2021,Female,65 - 69 years,83.1
GP visit in last 12 months,2021,Female,70 - 74 years,84
GP visit in last 12 months,2021,Female,75 years and over,85
GP visit in last 12 months,2022,Male,15 - 19 years,52.5
GP visit in last 12 months,2022,Male,20 - 24 years,53.7
GP visit in last 12 months,2022,Male,25 - 29 years,50.8
GP visit in last 12 months,2022,Male,30 - 34 years,52.3
GP visit in last 12 months,2022,Male,35 - 39 years,54.6
GP visit in last 12 months,2022,Male,40 - 44 years,54.3
GP visit in last 12 months,2022,Male,45 - 49 years,62.7
GP visit in last 12 months,2022,Male,50 - 54 years,68.6
GP visit in last 12 months,2022,Male,55 - 59 years,71.8
GP visit in last 12 months,2022,Male,60 - 64 years,74.4
GP visit in last 12 months,2022,Male,65 - 69 years,87.6
GP visit in last 12 months,2022,Male,70 - 74 years,82
GP visit in last 12 months,2022,Male,75 years and over,93.7
GP visit in last 12 months,2022,Female,15 - 19 years,64.2
GP visit in last 12 months,2022,Female,20 - 24 years,81.7
GP visit in last 12 months,2022,Female,25 - 29 years,73.5
GP visit in last 12 months,2022,Female,30 - 34 years,78.8
GP visit in last 12 months,2022,Female,35 - 39 years,75.6
GP visit in last 12 months,2022,Female,40 - 44 years,71.8
GP visit in last 12 months,2022,Female,45 - 49 years,75.3
GP visit in last 12 months,2022,Female,50 - 54 years,76.7
GP visit in last 12 months,2022,Female,55 - 59 years,80.2
GP visit in last 12 months,2022,Female,60 - 64 years,82.6
GP visit in last 12 months,2022,Female,65 - 69 years,84.4
GP visit in last 12 months,2022,Female,70 - 74 years,84.3
GP visit in last 12 months,2022,Female,75 years and over,95
