table_id,Statistic,Year,Sex,Age.Group,value
HIS15,Persons who drink more than once per week,2015,Male,15 - 19 years,5.3
HIS15,Persons who drink more than once per week,2015,Male,20 - 24 years,24.7
HIS15,Persons who drink more than once per week,2015,Male,25 - 29 years,23.7
HIS15,Persons who drink more than once per week,2015,Male,30 - 34 years,29.6
HIS15,Persons who drink more than once per week,2015,Male,35 - 39 years,24.3
HIS15,Persons who drink more than once per week,2015,Male,40 - 44 years,32.1
HIS15,Persons who drink more than once per week,2015,Male,45 - 49 years,35.8
HIS15,Persons who drink more than once per week,2015,Male,50 - 54 years,38.8
HIS15,Persons who drink more than once per week,2015,Male,55 - 59 years,42
HIS15,Persons who drink more than once per week,2015,Male,60 - 64 years,38.7
HIS15,Persons who drink more than once per week,2015,Male,65 - 69 years,36.7
HIS15,Persons who drink more than once per week,2015,Male,70 - 74 years,39.7
HIS15,Persons who drink more than once per week,2015,Male,75 years and over,26.1
HIS15,Persons who drink more than once per week,2015,Female,15 - 19 years,5.3
HIS15,Persons who drink more than once per week,2015,Female,20 - 24 years,19.5
HIS15,Persons who drink more than once per week,2015,Female,25 - 29 years,15.3
HIS15,Persons who drink more than once per week,2015,Female,30 - 34 years,14.2
HIS15,Persons who drink more than once per week,2015,Female,35 - 39 years,18.7
HIS15,Persons who drink more than once per week,2015,Female,40 - 44 years,24.4
HIS15,Persons who drink more than once per week,2015,Female,45 - 49 years,24.4
HIS15,Persons who drink more than once per week,2015,Female,50 - 54 years,25.4
HIS15,Persons who drink more than once per week,2015,Female,55 - 59 years,25.4
HIS15,Persons who drink more than once per week,2015,Female,60 - 64 years,24.4
HIS15,Persons who drink more than once per week,2015,Female,65 - 69 years,21.1
HIS15,Persons who drink more than once per week,2015,Female,70 - 74 years,18
HIS15,Persons who drink more than once per week,2015,Female,75 years and over,13.4
HIS15,Persons who drink more than once per week,2016,Male,15 - 19 years,10.5
HIS15,Persons who drink more than once per week,2016,Male,20 - 24 years,23.1
HIS15,Persons who drink more than once per week,2016,Male,25 - 29 years,20.9
HIS15,Persons who drink more than once per week,2016,Male,30 - 34 years,32.8
HIS15,Persons who drink more than once per week,2016,Male,35 - 39 years,34.9
HIS15,Persons who drink more than once per week,2016,Male,40 - 44 years,33.7
HIS15,Persons who drink more than once per week,2016,Male,45 - 49 years,38.9
HIS15,Persons who drink more than once per week,2016,Male,50 - 54 years,28.7
HIS15,Persons who drink more than once per week,2016,Male,55 - 59 years,40.4
HIS15,Persons who drink more than once per week,2016,Male,60 - 64 years,40
HIS15,Persons who drink more than once per week,2016,Male,65 - 69 years,33
HIS15,Persons who drink more than once per week,2016,Male,70 - 74 years,30.8
HIS15,Persons who drink more than once per week,2016,Male,75 years and over,24.6
HIS15,Persons who drink more than once per week,2016,Female,15 - 19 years,7.5
HIS15,Persons who drink more than once per week,2016,Female,20 - 24 years,18.5
HIS15,Persons who drink more than once per week,2016,Female,25 - 29 years,9.5
HIS15,Persons who drink more than once per week,2016,Female,30 - 34 years,13.8
HIS15,Persons who drink more than once per week,2016,Female,35 - 39 years,17.3
HIS15,Persons who drink more than once per week,2016,Female,40 - 44 years,21.6
HIS15,Persons who drink more than once per week,2016,Female,45 - 49 years,26.8
HIS15,Persons who drink more than once per week,2016,Female,50 - 54 years,26.3
HIS15,Persons who drink more than once per week,2016,Female,55 - 59 years,23.5
HIS15,Persons who drink more than once per week,2016,Female,60 - 64 years,21.4
HIS15,Persons who drink more than once per week,2016,Female,65 - 69 years,17.7
HIS15,Persons who drink more than once per week,2016,Female,70 - 74 years,20.1
HIS15,Persons who drink more than once per week,2016,Female,75 years and over,14.3
HIS15,Persons who drink more than once per week,2017,Male,15 - 19 years,6.5
HIS15,Persons who drink more than once per week,2017,Male,20 - 24 years,24.6
HIS15,Persons who drink more than once per week,2017,Male,25 - 29 years,33.2
HIS15,Persons who drink more than once per week,2017,Male,30 - 34 years,24.1
HIS15,Persons who drink more than once per week,2017,Male,35 - 39 years,30.5
HIS15,Persons who drink more than once per week,2017,Male,40 - 44 years,30.6
HIS15,Persons who drink more than once per week,2017,Male,45 - 49 years,32.5
HIS15,Persons who drink more than once per week,2017,Male,50 - 54 years,44.9
HIS15,Persons who drink more than once per week,2017,Male,55 - 59 years,32.9
HIS15,Persons who drink more than once per week,2017,Male,60 - 64 years,44.6
HIS15,Persons who drink more than once per week,2017,Male,65 - 69 years,37.7
HIS15,Persons who drink more than once per week,2017,Male,70 - 74 years,33.8
HIS15,Persons who drink more than once per week,2017,Male,75 years and over,29.7
HIS15,Persons who drink more than once per week,2017,Female,15 - 19 years,4.6
HIS15,Persons who drink more than once per week,2017,Female,20 - 24 years,11.9
HIS15,Persons who drink more than once per week,2017,Female,25 - 29 years,10.3
HIS15,Persons who drink more than once per week,2017,Female,30 - 34 years,15.9
HIS15,Persons who drink more than once per week,2017,Female,35 - 39 years,20.2
HIS15,Persons who drink more than once per week,2017,Female,40 - 44 years,24.4
HIS15,Persons who drink more than once per week,2017,Female,45 - 49 years,28.8
HIS15,Persons who drink more than once per week,2017,Female,50 - 54 years,26.5
HIS15,Persons who drink more than once per week,2017,Female,55 - 59 years,21.1
HIS15,Persons who drink more than once per week,2017,Female,60 - 64 years,26
HIS15,Persons who drink more than once per week,2017,Female,65 - 69 years,20.2
HIS15,Persons who drink more than once per week,2017,Female,70 - 74 years,17.7
HIS15,Persons who drink more than once per week,2017,Female,75 years and over,15.5
HIS15,Persons who drink more than once per week,2018,Male,15 - 19 years,7.2
HIS15,Persons who drink more than once per week,2018,Male,20 - 24 years,18.9
HIS15,Persons who drink more than once per week,2018,Male,25 - 29 years,31.4
HIS15,Persons who drink more than once per week,2018,Male,30 - 34 years,31.6
HIS15,Persons who drink more than once per week,2018,Male,35 - 39 years,25.2
HIS15,Persons who drink more than once per week,2018,Male,40 - 44 years,29.4
HIS15,Persons who drink more than once per week,2018,Male,45 - 49 years,27.9
HIS15,Persons who drink more than once per week,2018,Male,50 - 54 years,36.8
HIS15,Persons who drink more than once per week,2018,Male,55 - 59 years,33.3
HIS15,Persons who drink more than once per week,2018,Male,60 - 64 years,35.9
HIS15,Persons who drink more than once per week,2018,Male,65 - 69 years,39.1
HIS15,Persons who drink more than once per week,2018,Male,70 - 74 years,31.5
HIS15,Persons who drink more than once per week,2018,Male,75 years and over,22.7
HIS15,Persons who drink more than once per week,2018,Female,15 - 19 years,1.9
HIS15,Persons who drink more than once per week,2018,Female,20 - 24 years,13.4
HIS15,Persons who drink more than once per week,2018,Female,25 - 29 years,9.3
HIS15,Persons who drink more than once per week,2018,Female,30 - 34 years,13.7
HIS15,Persons who drink more than once per week,2018,Female,35 - 39 years,15.3
HIS15,Persons who drink more than once per week,2018,Female,40 - 44 years,24.3
HIS15,Persons who drink more than once per week,2018,Female,45 - 49 years,25
HIS15,Persons who drink more than once per week,2018,Female,50 - 54 years,28.3
HIS15,Persons who drink more than once per week,2018,Female,55 - 59 years,24.7
HIS15,Persons who drink more than once per week,2018,Female,60 - 64 years,26.1
HIS15,Persons who drink more than once per week,2018,Female,65 - 69 years,20.2
HIS15,Persons who drink more than once per week,2018,Female,70 - 74 years,16.3
HIS15,Persons who drink more than once per week,2018,Female,75 years and over,14
HIS15,Persons who drink more than once per week,2021,Male,15 - 19 years,11
HIS15,Persons who drink more than once per week,2021,Male,20 - 24 years,19.2
HIS15,Persons who drink more than once per week,2021,Male,25 - 29 years,19.6
HIS15,Persons who drink more than once per week,2021,Male,30 - 34 years,23.9
HIS15,Persons who drink more than once per week,2021,Male,35 - 39 years,26.7
HIS15,Persons who drink more than once per week,2021,Male,40 - 44 years,29.7
HIS15,Persons who drink more than once per week,2021,Male,45 - 49 years,30.2
HIS15,Persons who drink more than once per week,2021,Male,50 - 54 years,28.6
HIS15,Persons who drink more than once per week,2021,Male,55 - 59 years,32.7
HIS15,Persons who drink more than once per week,2021,Male,60 - 64 years,29.3
HIS15,Persons who drink more than once per week,2021,Male,65 - 69 years,25.3
HIS15,Persons who drink more than once per week,2021,Male,70 - 74 years,28.7
HIS15,Persons who drink more than once per week,2021,Male,75 years and over,28.2
HIS15,Persons who drink more than once per week,2021,Female,15 - 19 years,3.3
HIS15,Persons who drink more than once per week,2021,Female,20 - 24 years,8.4
HIS15,Persons who drink more than once per week,2021,Female,25 - 29 years,15.9
HIS15,Persons who drink more than once per week,2021,Female,30 - 34 years,15.8
HIS15,Persons who drink more than once per week,2021,Female,35 - 39 years,18.8
HIS15,Persons who drink more than once per week,2021,Female,40 - 44 years,24.4
HIS15,Persons who drink more than once per week,2021,Female,45 - 49 years,23.9
HIS15,Persons who drink more than once per week,2021,Female,50 - 54 years,24.6
HIS15,Persons who drink more than once per week,2021,Female,55 - 59 years,22.9
HIS15,Persons who drink more than once per week,2021,Female,60 - 64 years,24
HIS15,Persons who drink more than once per week,2021,Female,65 - 69 years,23.2
HIS15,Persons who drink more than once per week,2021,Female,70 - 74 years,18.4
HIS15,Persons who drink more than once per week,2021,Female,75 years and over,14.9
HIS15,Persons who drink more than once per week,2022,Male,15 - 19 years,8.7
HIS15,Persons who drink more than once per week,2022,Male,20 - 24 years,19.6
HIS15,Persons who drink more than once per week,2022,Male,25 - 29 years,23.3
HIS15,Persons who drink more than once per week,2022,Male,30 - 34 years,20.3
HIS15,Persons who drink more than once per week,2022,Male,35 - 39 years,19.1
HIS15,Persons who drink more than once per week,2022,Male,40 - 44 years,20.5
HIS15,Persons who drink more than once per week,2022,Male,45 - 49 years,28.9
