Statistic,Year,Sex,Age.Group,value
Good or very good health status,2015,Both sexes,All ages,85.1
Good or very good health status,2015,Both sexes,15 - 19 years,92.5
Good or very good health status,2015,Both sexes,20 - 24 years,90.5
Good or very good health status,2015,Both sexes,25 - 29 years,93.9
Good or very good health status,2015,Both sexes,30 - 34 years,90.4
Good or very good health status,2015,Both sexes,35 - 39 years,92.7
Good or very good health status,2015,Both sexes,40 - 44 years,89.3
Good or very good health status,2015,Both sexes,45 - 49 years,87.8
Good or very good health status,2015,Both sexes,50 - 54 years,84.6
Good or very good health status,2015,Both sexes,55 - 59 years,81.4
Good or very good health status,2015,Both sexes,60 - 64 years,77.3
Good or very good health status,2015,Both sexes,65 - 69 years,74.5
Good or very good health status,2015,Both sexes,70 - 74 years,69.4
Good or very good health status,2015,Both sexes,75 years and over,59.6
Good or very good health status,2015,Male,All ages,85.3
Good or very good health status,2015,Male,15 - 19 years,93.6
Good or very good health status,2015,Male,20 - 24 years,89.5
Good or very good health status,2015,Male,25 - 29 years,95.1
Good or very good health status,2015,Male,30 - 34 years,91.3
Good or very good health status,2015,Male,35 - 39 years,92.6
Good or very good health status,2015,Male,40 - 44 years,89
Good or very good health status,2015,Male,45 - 49 years,83.7
Good or very good health status,2015,Male,50 - 54 years,86.8
Good or very good health status,2015,Male,55 - 59 years,80.6
Good or very good health status,2015,Male,60 - 64 years,78.2
Good or very good health status,2015,Male,65 - 69 years,74.3
Good or very good health status,2015,Male,70 - 74 years,68.9
Good or very good health status,2015,Male,75 years and over,59.7
Good or very good health status,2015,Female,All ages,84.9
Good or very good health status,2015,Female,15 - 19 years,91.4
Good or very good health status,2015,Female,20 - 24 years,91.8
Good or very good health status,2015,Female,25 - 29 years,92.6
Good or very good health status,2015,Female,30 - 34 years,89.8
Good or very good health status,2015,Female,35 - 39 years,92.8
Good or very good health status,2015,Female,40 - 44 years,89.7
Good or very good health status,2015,Female,45 - 49 years,92.1
Good or very good health status,2015,Female,50 - 54 years,82.5
Good or very good health status,2015,Female,55 - 59 years,82.1
Good or very good health status,2015,Female,60 - 64 years,76.5
Good or very good health status,2015,Female,65 - 69 years,74.7
Good or very good health status,2015,Female,70 - 74 years,69.8
Good or very good health status,2015,Female,75 years and over,59.4
Good or very good health status,2016,Both sexes,All ages,83.6
Good or very good health status,2016,Both sexes,15 - 19 years,94.2
Good or very good health status,2016,Both sexes,20 - 24 years,90.4
Good or very good health status,2016,Both sexes,25 - 29 years,93.1
Good or very good health status,2016,Both sexes,30 - 34 years,89.9
Good or very good health status,2016,Both sexes,35 - 39 years,90.3
Good or very good health status,2016,Both sexes,40 - 44 years,89.5
Good or very good health status,2016,Both sexes,45 - 49 years,81.2
Good or very good health status,2016,Both sexes,50 - 54 years,83.7
Good or very good health status,2016,Both sexes,55 - 59 years,78.3
Good or very good health status,2016,Both sexes,60 - 64 years,77.6
Good or very good health status,2016,Both sexes,65 - 69 years,76
Good or very good health status,2016,Both sexes,70 - 74 years,65.2
Good or very good health status,2016,Both sexes,75 years and over,58.1
Good or very good health status,2016,Male,All ages,83.2
Good or very good health status,2016,Male,15 - 19 years,94.1
Good or very good health status,2016,Male,20 - 24 years,90.5
Good or very good health status,2016,Male,25 - 29 years,91.8
Good or very good health status,2016,Male,30 - 34 years,86.2
Good or very good health status,2016,Male,35 - 39 years,91.2
Good or very good health status,2016,Male,40 - 44 years,88.2
Good or very good health status,2016,Male,45 - 49 years,78.5
Good or very good health status,2016,Male,50 - 54 years,83.8
Good or very good health status,2016,Male,55 - 59 years,78.6
Good or very good health status,2016,Male,60 - 64 years,76.8
Good or very good health status,2016,Male,65 - 69 years,76.1
Good or very good health status,2016,Male,70 - 74 years,65
Good or very good health status,2016,Male,75 years and over,58.9
Good or very good health status,2016,Female,All ages,84
Good or very good health status,2016,Female,15 - 19 years,94.4
Good or very good health status,2016,Female,20 - 24 years,90.4
Good or very good health status,2016,Female,25 - 29 years,94.4
Good or very good health status,2016,Female,30 - 34 years,93
Good or very good health status,2016,Female,35 - 39 years,89.4
Good or very good health status,2016,Female,40 - 44 years,90.6
Good or very good health status,2016,Female,45 - 49 years,83.8
